time,mass,radius,x,y,z,x-velocity,y-velocity,z-velocity,x-acceleration,y-acceleration,z-acceleration,x-force,y-force,z-force
0,7.349999999999999e+22,1700000.0,363000000.0,0,0,0,1037.4848112434388,0,0,0,0,0,0,0
3600,7.349999999999999e+22,1700000.0,362980322.84654266,3734877.0826310334,0.0,-10.937731928954268,1037.427883305145,0.0,-0.0030381517423010273,-3.1626374295504975e-05,0.0,-2.233041530591255e+20,-2.3245385107196155e+18,0.0
7200,7.349999999999999e+22,1700000.0,362921271.5937182,7469344.290797399,0.0,-21.874306110303376,1037.2570417817215,0.0,-0.0030376694913382763,-6.32672305029264e-05,0.0,-2.2326870761336327e+20,-4.65014144196509e+18,0.0
10800,7.349999999999999e+22,1700000.0,362822852.49145466,11202991.562346457,0.0,-32.80856523658294,1036.972303403315,0.0,-0.0030368657879224392,-9.490189229318054e-05,0.0,-2.2320963541229925e+20,-6.975289083548769e+18,0.0
14400,7.349999999999999e+22,1700000.0,362685075.95568013,14935408.915404836,0.0,-43.739352189184046,1036.573696045433,0.0,-0.0030357406976247413,-0.00012652726388629672,0.0,-2.2312694127541846e+20,-9.299753895642808e+18,0.0
18000,7.349999999999999e+22,1700000.0,362507956.5674632,18666186.488499623,0.0,-54.66551013281115,1036.0612587276585,0.0,-0.00303429431225609,-0.00015814024993435953,0.0,-2.2302063195082257e+20,-1.1623308370175425e+19,0.0
21600,7.349999999999999e+22,1700000.0,362291513.0718334,22394914.580674093,0.0,-65.58588260995057,1035.4350416118239,0.0,-0.0030325267498705773,-0.0001897377556666449,0.0,-2.2289071611548742e+20,-1.3945725041498399e+19,0.0
25200,7.349999999999999e+22,1700000.0,362035768.3762408,26121183.69159546,0.0,-76.49931363535455,1034.695105999698,0.0,-0.0030304381547704034,-0.00022131668703500524,0.0,-2.227372043756246e+20,-1.6266776497072884e+19,0.0
28800,7.349999999999999e+22,1700000.0,361740749.5486957,29844584.56165385,0.0,-87.40464779054456,1033.8415243300776,0.0,-0.003028028697511417,-0.0002528739508595168,0.0,-2.2256010926708913e+20,-1.8586235388174483e+19,0.0
32400,7.349999999999999e+22,1700000.0,361406487.8155501,33564708.21204961,0.0,-98.30073031833588,1032.874380175444,0.0,-0.0030252985749100107,-0.0002844064549744951,0.0,-2.2235944525588575e+20,-2.090387444062539e+19,0.0
36000,7.349999999999999e+22,1700000.0,361033018.5589521,37281145.984867774,0.0,-109.1864072173892,1031.7937682380152,0.0,-0.0030222480100507683,-0.0003159111083748885,0.0,-2.2213522873873144e+20,-2.32194664655543e+19,0.0
39600,7.349999999999999e+22,1700000.0,360620381.3139558,40993489.5831371,0.0,-120.06052533679222,1030.59979434533,0.0,-0.003018877252295178,-0.00034738482136312655,0.0,-2.2188747804369555e+20,-2.55327843701898e+19,0.0
43200,7.349999999999999e+22,1700000.0,360168619.7652809,44701331.11087254,0.0,-130.92193247067266,1029.2925754452563,0.0,-0.0030151865772914863,-0.00037882450569651303,0.0,-2.216162134309242e+20,-2.7843601168693707e+19,0.0
46800,7.349999999999999e+22,1700000.0,359677781.74375075,48404263.11309892,0.0,-141.7694774528507,1027.8722396004955,0.0,-0.003011176286985198,-0.0004102270747351337,0.0,-2.2132145709341203e+20,-3.0151689993032323e+19,0.0
50400,7.349999999999999e+22,1700000.0,359147919.2223704,52101878.61585286,0.0,-152.60201025152935,1026.3389259825312,0.0,-0.003006846709630841,-0.0004415894435904304,0.0,-2.210032331578668e+20,-3.245682410389663e+19,0.0
54000,7.349999999999999e+22,1700000.0,358579088.31208247,55793771.16616387,0.0,-163.4183820640272,1024.6927848650823,0.0,-0.003002198199804377,-0.00047290852927441257,0.0,-2.2066156768562168e+20,-3.475877690166932e+19,0.0
57600,7.349999999999999e+22,1700000.0,357971349.2571633,59479534.872008756,0.0,-174.2174454115631,1022.9339776169726,0.0,-0.0029972311384168075,-0.0005041812508496413,0.0,-2.2029648867363534e+20,-3.705732193744863e+19,0.0
61200,7.349999999999999e+22,1700000.0,357324766.4302861,63158764.44224099,0.0,-184.99805423408685,1021.0626766944806,0.0,-0.0029919459327285704,-0.0005354045295799929,0.0,-2.199080260555499e+20,-3.935223292412948e+19,0.0
64800,7.349999999999999e+22,1700000.0,356639408.3272503,66831055.226490736,0.0,-195.7590639851623,1019.0790656331424,0.0,-0.002986343016364698,-0.0005665752890822249,0.0,-2.194962117028053e+20,-4.164328374754352e+19,0.0
68400,7.349999999999999e+22,1700000.0,355915347.5613533,70496003.25503458,0.0,-206.49933172691178,1016.9833390390061,0.0,-0.0029804228493310707,-0.0005976904554784983,0.0,-2.1906107942583366e+20,-4.393024847766962e+19,0.0
72000,7.349999999999999e+22,1700000.0,355152660.85743797,74153205.27863315,0.0,-217.2177162250135,1014.7757025793422,0.0,-0.0029741859180312533,-0.0006287469575497845,0.0,-2.186026649752971e+20,-4.621290137990916e+19,0.0
75600,7.349999999999999e+22,1700000.0,354351429.04557574,77802258.80833334,0.0,-227.91307804377084,1012.4563729727853,0.0,-0.0029676327352844917,-0.0006597417268903664,0.0,-2.181210060434101e+20,-4.849101692644192e+19,0.0
79200,7.349999999999999e+22,1700000.0,353511737.0544355,81442762.15523514,0.0,-238.58427964123624,1010.0255779789305,0.0,-0.0029607638403440764,-0.0006906716980632739,0.0,-2.176161422652896e+20,-5.076436980765063e+19,0.0
82800,7.349999999999999e+22,1700000.0,352633673.9042825,85074314.47021954,0.0,-249.2301854644117,1007.4835563873662,0.0,-0.0029535797989168762,-0.0007215338087569526,0.0,-2.1708811522039038e+20,-5.303273494363601e+19,0.0
86400,7.349999999999999e+22,1700000.0,351717332.69965595,88696515.78363565,0.0,-259.84966204451587,1004.8305580061384,0.0,-0.0029460812031833106,-0.0007523249999429907,0.0,-2.165369684339733e+20,-5.529588749580981e+19,0.0
90000,7.349999999999999e+22,1700000.0,350762810.62169015,92308967.04494579,0.0,-270.44157809232763,1002.0668436496408,0.0,-0.002938268671818227,-0.0007830422160351256,0.0,-2.1596274737863967e+20,-5.755360287858173e+19,0.0
93600,7.349999999999999e+22,1700000.0,349770208.92009175,95911270.16232531,0.0,-281.0048045936053,999.1926851259392,0.0,-0.0029301428500124764,-0.0008136824050495236,0.0,-2.1536549947591698e+20,-5.980565677113998e+19,0.0
97200,7.349999999999999e+22,1700000.0,348739632.9047863,99503028.042217,0.0,-291.5382149045816,996.2083652235094,0.0,-0.0029217044094949373,-0.0008442425187663013,0.0,-2.1474527409787788e+20,-6.205182512932314e+19,0.0
100800,7.349999999999999e+22,1700000.0,347671191.9372084,103083844.62883501,0.0,-302.04068484754123,993.1141776974006,0.0,-0.002912954048555363,-0.0008747195128924764,0.0,-2.1410212256881915e+20,-6.4291884197597e+19,0.0
104400,7.349999999999999e+22,1700000.0,346564999.4212551,106653324.94361888,0.0,-312.51109280648484,989.9104272547933,0.0,-0.0029038924920677133,-0.0009051103472262962,0.0,-2.134360981669769e+20,-6.652561052113276e+19,0.0
108000,7.349999999999999e+22,1700000.0,345421172.7938848,110211075.1246343,0.0,-322.9483198228716,986.5974295399765,0.0,-0.002894520491514172,-0.0009354119858230913,0.0,-2.1274725612629164e+20,-6.87527809579972e+19,0.0
111600,7.349999999999999e+22,1700000.0,344239833.515384,113756702.46591882,0.0,-333.35124969145613,983.1755111187268,0.0,-0.0028848388250095136,-0.0009656213971625655,0.0,-2.1203565363819925e+20,-7.097317269144855e+19,0.0
115200,7.349999999999999e+22,1700000.0,343021107.0592841,117289815.456771,0.0,-343.71876905620763,979.6450094620662,0.0,-0.0028748482973260025,-0.0009957355543176675,0.0,-2.1130134985346115e+20,-7.318656324234856e+19,0.0
118800,7.349999999999999e+22,1700000.0,341765122.9019237,120810023.8209779,0.0,-354.0497675063232,976.0062729294324,0.0,-0.002864549739918907,-0.0010257514351251452,0.0,-2.1054440588403966e+20,-7.539273048169816e+19,0.0
122400,7.349999999999999e+22,1700000.0,340472014.51168245,124316938.55598287,0.0,-364.34313767233857,972.2596607512089,0.0,-0.0028539440109521365,-0.00105566602235762,0.0,-2.09764884804982e+20,-7.759145264328506e+19,0.0
126000,7.349999999999999e+22,1700000.0,339141919.3378474,127810171.97198895,0.0,-374.5977753223144,968.4055430106506,0.0,-0.0028430319953245526,-0.0010854763038975345,0.0,-2.089628516563546e+20,-7.978250833646877e+19,0.0
129600,7.349999999999999e+22,1700000.0,337774978.79916036,131289337.73099375,0.0,-384.81257945813985,964.4443006251648,0.0,-0.0028318146046962555,-0.0011151792729126133,0.0,-2.0813837344517476e+20,-8.196567655907706e+19,0.0
135112,7.349999999999999e+22,1700000.0,335610177.47805583,136590106.90392604,0.0,-400.37851953562705,958.1701981040201,0.0,-0.0028140433798146437,-0.0011604594104675312,0.0,-2.068321884163763e+20,-8.529376666936354e+19,0.0
138712,7.349999999999999e+22,1700000.0,334150615.66411483,140031940.4123643,0.0,-410.48757921613355,953.9395276975234,0.0,-0.0028020571380224946,-0.0011898772952464566,0.0,-2.0595119964465332e+20,-8.745598120061456e+19,0.0
